iter	Passed	Remaining
0	1	132
1	1	97
2	2	83
3	3	73
4	3	69
5	4	66
6	4	64
7	5	64
8	6	62
9	6	61
10	7	59
11	8	59
12	8	58
13	9	56
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
